#x [fm] 	 y [fm] 	 ux 	 uy 	 gamma 
-13.4183	-13.4183	0	0	0
-13.0237	-13.4183	0	0	0
-12.629	-13.4183	0	0	0
-12.2343	-13.4183	0	0	0
-11.8397	-13.4183	0	0	0
-11.445	-13.4183	0	0	0
-11.0504	-13.4183	0	0	0
-10.6557	-13.4183	0	0	0
-10.2611	-13.4183	0	0	0
-9.86641	-13.4183	0	0	0
-9.47175	-13.4183	0	0	0
-9.0771	-13.4183	0	0	0
-8.68244	-13.4183	0	0	0
-8.28778	-13.4183	0	0	0
-7.89313	-13.4183	0	0	0
-7.49847	-13.4183	0	0	0
-7.10381	-13.4183	0	0	0
-6.70916	-13.4183	0	0	0
-6.3145	-13.4183	0	0	0
-5.91985	-13.4183	0	0	0
-5.52519	-13.4183	0	0	0
-5.13053	-13.4183	0	0	0
-4.73588	-13.4183	0	0	0
-4.34122	-13.4183	0	0	0
-3.94656	-13.4183	0	0	0
-3.55191	-13.4183	0	0	0
-3.15725	-13.4183	0	0	0
-2.76259	-13.4183	0	0	0
-2.36794	-13.4183	0	0	0
-1.97328	-13.4183	0	0	0
-1.57863	-13.4183	0	0	0
-1.18397	-13.4183	0	0	0
-0.789313	-13.4183	0	0	0
-0.394656	-13.4183	0	0	0
0	-13.4183	0	0	0
0.394656	-13.4183	0	0	0
0.789313	-13.4183	-7.26674e-05	-5.61164e-13	7.26674e-05
1.18397	-13.4183	0	-0.000112978	0.000112978
1.57863	-13.4183	7.26674e-05	-5.61164e-13	7.26674e-05
1.97328	-13.4183	-0.00534998	-8.00088e-10	0.00534998
2.36794	-13.4183	0	0.000147436	0.000147436
2.76259	-13.4183	0.00534998	-8.00088e-10	0.00534998
3.15725	-13.4183	0	0	0
3.55191	-13.4183	0	0	0
3.94656	-13.4183	0	0	0
4.34122	-13.4183	0	0	0
4.73588	-13.4183	-0.0212743	6.95456e-08	0.0212743
5.13053	-13.4183	0	-0.00076364	0.00076364
5.52519	-13.4183	0.025441	6.95456e-08	0.025441
5.91985	-13.4183	-1180.56	5.50172e-08	1180.56
6.3145	-13.4183	0	-0.000208263	0.000208263
6.70916	-13.4183	1185.15	5.50172e-08	1185.15
7.10381	-13.4183	-9177.26	1.63583e-08	9177.26
7.49847	-13.4183	0	8.9735e-05	8.9735e-05
7.89313	-13.4183	9176.67	1.63583e-08	9176.67
8.28778	-13.4183	-4.87934	-6.14712e-05	4.87934
8.68244	-13.4183	-2.11313e-06	0.000268458	0.000268466
9.0771	-13.4183	0.00714484	-0.00136466	0.00727399
9.47175	-13.4183	0.0504669	2.852e-07	0.0504669
9.86641	-13.4183	-3438.66	-7.08176e-09	3438.66
